event_date,event_location,fighter1,fighter2,result_raw,winner,kd_1,kd_2,str_1,str_2,td_1,td_2,sub_1,sub_2,weight_class,method,method_detail,round,time
"April 04, 2026","Las Vegas, Nevada, USA",Jose Delano,Robert Ruchala,win,Jose Delano,0,0,107,67,0,0,0,0,Featherweight,U-DEC,,3,5:00
"April 04, 2026","Las Vegas, Nevada, USA",Thomas Petersen,Guilherme Pat,win,Thomas Petersen,1,0,28,17,0,0,0,0,Heavyweight,M-DEC,,3,5:00
"April 04, 2026","Las Vegas, Nevada, USA",Alessandro Costa,Stewart Nicoll,win,Alessandro Costa,1,0,43,47,2,0,0,0,Flyweight,KO/TKO,Punch,2,4:56
"April 04, 2026","Las Vegas, Nevada, USA",Darrius Flowers,Lando Vannata,win,Darrius Flowers,0,0,20,27,2,2,1,0,Lightweight,KO/TKO,Punches,2,0:52
"April 04, 2026","Las Vegas, Nevada, USA",Alice Pereira,Hailey Cowan,win,Alice Pereira,1,0,32,31,0,2,0,0,Women's Bantamweight,KO/TKO,Knee,2,4:24
"April 04, 2026","Las Vegas, Nevada, USA",Tresean Gore,Azamat Bekoev,win,Tresean Gore,0,1,78,70,2,2,1,0,Middleweight,SUB,Guillotine Choke,3,3:27
"April 04, 2026","Las Vegas, Nevada, USA",Dione Barbosa,Melissa Gatto,win,Dione Barbosa,0,0,30,33,3,3,1,0,Women's Flyweight,M-DEC,,3,5:00
"April 04, 2026","Las Vegas, Nevada, USA",Kai Kamaka III,Dakota Hope,win,Kai Kamaka III,0,1,105,106,0,1,0,0,Lightweight,S-DEC,,3,5:00
"March 28, 2026","Seattle, Washington, USA",Joe Pyfer,Israel Adesanya,win,Joe Pyfer,0,0,36,42,2,0,0,0,Middleweight,KO/TKO,Punches,2,4:18
"March 28, 2026","Seattle, Washington, USA",Alexa Grasso,Maycee Barber,win,Alexa Grasso,1,0,12,5,0,0,1,0,Women's Flyweight,KO/TKO,Punch,1,2:42
"March 28, 2026","Seattle, Washington, USA",Michael Chiesa,Niko Price,win,Michael Chiesa,0,0,0,1,1,1,1,0,Welterweight,SUB,Rear Naked Choke,1,1:03
"March 28, 2026","Seattle, Washington, USA",Lerryan Douglas,Julian Erosa,win,Lerryan Douglas,2,0,29,17,0,0,0,0,Featherweight,KO/TKO,Punches,1,3:33
"March 28, 2026","Seattle, Washington, USA",Yousri Belgaroui,Mansur Abdul-Malik,win,Yousri Belgaroui,2,0,94,16,0,3,0,0,Middleweight,KO/TKO,Knee,3,3:39
