event_name,event_date,fight_url
UFC Fight Night: Rodriguez vs. Lemos,11/05/2022,http://ufcstats.com/fight-details/b279559f15ecf29b
UFC Fight Night: Rodriguez vs. Lemos,11/05/2022,http://ufcstats.com/fight-details/2664805fde34fb1b
UFC Fight Night: Rodriguez vs. Lemos,11/05/2022,http://ufcstats.com/fight-details/3adecfc4727a8d73
UFC Fight Night: Rodriguez vs. Lemos,11/05/2022,http://ufcstats.com/fight-details/1535fb6549fa8bab
UFC Fight Night: Rodriguez vs. Lemos,11/05/2022,http://ufcstats.com/fight-details/71afa8354da2491e
UFC Fight Night: Rodriguez vs. Lemos,11/05/2022,http://ufcstats.com/fight-details/2ab395e21080b10a
UFC Fight Night: Rodriguez vs. Lemos,11/05/2022,http://ufcstats.com/fight-details/5475f5b6bad40989
UFC Fight Night: Rodriguez vs. Lemos,11/05/2022,http://ufcstats.com/fight-details/31cb98ce37fd87dd
UFC Fight Night: Rodriguez vs. Lemos,11/05/2022,http://ufcstats.com/fight-details/cfca30d3ef3c86b9
UFC Fight Night: Rodriguez vs. Lemos,11/05/2022,http://ufcstats.com/fight-details/b87ac039e3b13940
UFC Fight Night: Kattar vs. Allen,10/29/2022,http://ufcstats.com/fight-details/a554a72bb0377213
UFC Fight Night: Kattar vs. Allen,10/29/2022,http://ufcstats.com/fight-details/bf59d9f8bd9536f3
UFC Fight Night: Kattar vs. Allen,10/29/2022,http://ufcstats.com/fight-details/5b6bdaf89e493674
UFC Fight Night: Kattar vs. Allen,10/29/2022,http://ufcstats.com/fight-details/6a7db3750822d7be
UFC Fight Night: Kattar vs. Allen,10/29/2022,http://ufcstats.com/fight-details/98b7dd0ddc52cffb
UFC Fight Night: Kattar vs. Allen,10/29/2022,http://ufcstats.com/fight-details/f32d918ee06cb83b
UFC Fight Night: Kattar vs. Allen,10/29/2022,http://ufcstats.com/fight-details/5dcba156bd13e0c3
UFC Fight Night: Kattar vs. Allen,10/29/2022,http://ufcstats.com/fight-details/d6d141afdd31c3f1
UFC Fight Night: Kattar vs. Allen,10/29/2022,http://ufcstats.com/fight-details/86dff1593d8b9a1f
UFC Fight Night: Kattar vs. Allen,10/29/2022,http://ufcstats.com/fight-details/44abbf6b947be6de
UFC Fight Night: Kattar vs. Allen,10/29/2022,http://ufcstats.com/fight-details/fdb9d29cf0edc16a
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/523815acf1bb2420
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/1f0d4572e0facbea
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/5c3c4bcc6c746ca0
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/69f39e5d959311b1
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/25f3e4fa781c1c8a
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/d325a1483d78ae75
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/2d36e2c10ee349fe
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/f4d8266a42a41dff
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/cea6760d7bfbe19b
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/1b204fc28bb023e6
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/1e8c33b1917fe1b7
UFC 280: Oliveira vs. Makhachev,10/22/2022,http://ufcstats.com/fight-details/4011cdf1f182804c
UFC Fight Night: Grasso vs. Araujo,10/15/2022,http://ufcstats.com/fight-details/904cf687d22bb486
UFC Fight Night: Grasso vs. Araujo,10/15/2022,http://ufcstats.com/fight-details/1af23e7aa71a1d17
