fighter,fighter_url
Jalin Turner,http://ufcstats.com/fighter-details/4d8fa64202cee4c1
Mansur Abdul-Malik,http://ufcstats.com/fighter-details/841695e02c99a521
Mairon Santos,http://ufcstats.com/fighter-details/480779d7f9a424d3
Arman Tsarukyan,http://ufcstats.com/fighter-details/eae48ff31db420c2
Ian Machado Garry,http://ufcstats.com/fighter-details/442c9011034ae1fd
Volkan Oezdemir,http://ufcstats.com/fighter-details/0845c81e37d3bcb3
Nicolas Dalby,http://ufcstats.com/fighter-details/9d19d9e4aa2662e8
Aleksandre Topuria,http://ufcstats.com/fighter-details/4a6dff1b260bcf61
Ismail Naurdiev,http://ufcstats.com/fighter-details/6a96ad1bc34fb113
Nurullo Aliev,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Denzel Freeman,http://ufcstats.com/fighter-details/b5c19c34f12c917e
Islam Makhachev,http://ufcstats.com/fighter-details/275aca31f61ba28c
Valentina Shevchenko,http://ufcstats.com/fighter-details/132deb59abae64b1
Michael Morales,http://ufcstats.com/fighter-details/c32aeb1a59e6272d
Erin Blanchfield,http://ufcstats.com/fighter-details/669970f7feba8ecd
Kyle Daukaus,http://ufcstats.com/fighter-details/d6c0cdd7e467c440
Fatima Kline,http://ufcstats.com/fighter-details/745fa7b605f8e2da
Joseph Morales,http://ufcstats.com/fighter-details/2fe9032955c2e013
Jamall Emmers,http://ufcstats.com/fighter-details/e00a3dee329a51f7
Jacqueline Cavalcanti,http://ufcstats.com/fighter-details/e3964ece586e0635
Denise Gomes,http://ufcstats.com/fighter-details/cffb87059e645bd1
Daniel Marcos,http://ufcstats.com/fighter-details/850266b3dc4e506e
Zach Reese,http://ufcstats.com/fighter-details/23dec7c47cb418f8
Steve Garcia,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889
Jeremiah Wells,http://ufcstats.com/fighter-details/d66a46de8d705353
Yadier del Valle,http://ufcstats.com/fighter-details/70380ccdc81915b8
Allan Nascimento,http://ufcstats.com/fighter-details/253076a23d03dcd0
Timmy Cuamba,http://ufcstats.com/fighter-details/0e46690e55a8df75
Norma Dumont,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9
Seokhyeon Ko,http://ufcstats.com/fighter-details/4a07b1988477502c
Tom Aspinall,http://ufcstats.com/fighter-details/399afbabc02376b5
Mackenzie Dern,http://ufcstats.com/fighter-details/7447e9f28508106a
Azamat Murzakanov,http://ufcstats.com/fighter-details/e90a2f22417af68e
Ludovit Klein,http://ufcstats.com/fighter-details/5b86d491d63890c5
Valter Walker,http://ufcstats.com/fighter-details/f5779a2303ed76ec
Hamdy Abdelwahab,http://ufcstats.com/fighter-details/3329d692aea4dc28
Mizuki,http://ufcstats.com/fighter-details/43a59ce3bb40449e
Aiemann Zahabi,http://ufcstats.com/fighter-details/24656ef4d605c96f
Manon Fiorot,http://ufcstats.com/fighter-details/34ff304266360297
Kyle Nelson,http://ufcstats.com/fighter-details/31f8081c7600da93
Aoriqileng,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Bruno Silva,http://ufcstats.com/fighter-details/294aa73dbf37d281
Djorden Santos,http://ufcstats.com/fighter-details/312f7d7b2b2f7de4
Stephanie Luciano,http://ufcstats.com/fighter-details/1b35af4d1529adf6
Deiveson Figueiredo,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5
Joel Alvarez,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Michael Aswell Jr.,http://ufcstats.com/fighter-details/01c9e4013afce141
Jafel Filho,http://ufcstats.com/fighter-details/65adf3856c4d9256
Lucas Rocha,http://ufcstats.com/fighter-details/e0d3d9b564f95635
Julia Polastri,http://ufcstats.com/fighter-details/abb68e3c7ca128f2
Luan Lacerda,http://ufcstats.com/fighter-details/6fc506e1099afe20
Alex Pereira,http://ufcstats.com/fighter-details/e5549c82bfb5582d
Merab Dvalishvili,http://ufcstats.com/fighter-details/c03520b5c88ed6b4
Jiri Prochazka,http://ufcstats.com/fighter-details/009341ed974bad72
Youssef Zalal,http://ufcstats.com/fighter-details/52c2ae6d2f2d2613
Daniel Santos,http://ufcstats.com/fighter-details/b67d6bacc68d4c92
Edmen Shahbazyan,http://ufcstats.com/fighter-details/4144798612ef96e5
Yana Santos,http://ufcstats.com/fighter-details/3143bf892608139a
Ramiz Brahimaj,http://ufcstats.com/fighter-details/3d074044a33825e7
Veronica Hardy,http://ufcstats.com/fighter-details/4798e823ada58fe9
Jimmy Crute,http://ufcstats.com/fighter-details/70e1f8a821b72c8b
Jack Jenkins,http://ufcstats.com/fighter-details/a9da3158dd2c2b5a
Neil Magny,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Jamie Mullarkey,http://ufcstats.com/fighter-details/af9f42e6894047fc
Kelvin Gastelum,http://ufcstats.com/fighter-details/8c0580d4fff106c1
Alexander Hernandez,http://ufcstats.com/fighter-details/262a7d06203657e6
Dusko Todorovic,http://ufcstats.com/fighter-details/866fd7b1a6c90e7f
